Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0,-73.93720088501888,40.7483477,11101,114.0
queens,Astoria,32-06 29th Street,2.0,1.0,854.49,2600.0,-73.9272737,40.7625486,11106,114.0
queens,Astoria,31-27 37th Street,2.0,1.0,887.2,3600.0,-73.91904814604243,40.76126055,11103,115.0
queens,Sunnyside,47-28 40th Street,2.0,1.0,844.67,2300.0,-73.9250463,40.74100055,11104,104.0
queens,Forest Hills,110-11 72nd Avenue,1.0,1.0,950.0,2200.0,-73.8398281,40.7211021,11375,112.0
queens,Forest Hills,65-15 Yellowstone Boulevard,1.0,1.0,631.43,1800.0,-73.85033965731306,40.7306261,11375,112.0
queens,Sunnyside,41-33 49th Street,2.0,1.0,849.58,2450.0,-73.91517055455589,40.74521665,11377,104.0
queens,Bayside,36-24 216th Street,0.5,1.0,529.71,1700.0,-73.76807675,40.7681893,11361,109.0
queens,Forest Hills,65-15 Yellowstone Boulevard,1.0,1.0,629.79,1750.0,-73.85033965731306,40.7306261,11375,112.0
queens,Whitestone,154-55 20 Road,2.0,1.0,900.0,2200.0,,,,100.0
queens,Jamaica,153-30 89th Avenue,2.0,2.0,933.0,2825.0,-73.80223285312294,40.70519205,11432,103.0
queens,Jamaica,147-40 Archer Avenue,1.0,1.0,652.43,2442.0,-73.8067421,40.7007227,11433,103.0
queens,Forest Hills,67-54 Burns Street,3.0,1.5,1250.0,3400.0,-73.85454823972081,40.72223365,11375,112.0
queens,Astoria,10 Halletts Point,2.0,2.0,1208.72,3995.0,,,,100.0
queens,Long Island City,29-59 Northern Boulevard,1.0,1.0,743.31,5220.0,-73.8548612,40.7584538,11368,115.0
queens,Sunnyside,47-40 41st Street,1.0,1.0,633.06,1850.0,-73.92423795999632,40.74052905,11104,104.0
queens,Forest Hills,105-28 65th Avenue,0.5,1.0,521.53,1450.0,-73.85022308289473,40.7310164,11375,112.0
queens,Ditmars-Steinway,22-39 73rd Street,1.0,1.0,628.16,1700.0,-73.8957274,40.76707995,11370,115.0
queens,Astoria,43-12 30th Avenue,3.0,1.5,1235.12,3500.0,-73.91229613770798,40.76240055,11103,115.0
queens,Astoria,14-19 Astoria Boulevard,1.0,1.0,675.0,2000.0,-73.92825095,40.772334,11102,114.0
queens,Hunters Point,22-44 Jackson Avenue,0.5,1.0,572.41,3005.0,-73.9537038,40.7419808,11109,114.0
queens,Astoria,14-15 33 Road,2.0,1.0,844.67,2300.0,,,,100.0
queens,Ridgewood,55-27 Myrtle Avenue,2.0,1.0,888.84,3650.0,-73.9075078,40.7001268,11418,104.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,745.93,5300.0,-73.9537038,40.7419808,11109,114.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0,-73.9264879,40.7522402,11101,114.0
queens,Queensbridge-Ravenswood-Long Island City,30-02 39th Avenue,0.5,1.0,578.82,3201.0,-73.9340578,40.7521206,11101,114.0
queens,Ditmars-Steinway,20-72 Steinway Street,1.0,1.0,650.0,1850.0,-73.90362171652639,40.7751501,11105,115.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0,-73.9264879,40.7522402,11101,114.0
queens,Hunters Point-Sunnyside-West Maspeth,28-10 Jackson Avenue,2.0,2.0,1261.88,5620.0,-73.9386495,40.7483015,11101,114.0
queens,Auburndale,47-41 194th Street,2.0,1.0,900.0,2500.0,-73.78624644704458,40.75117815,11358,109.0
queens,Long Island City,38-35 Crescent Street,2.0,1.0,886.38,3575.0,-73.9363959244197,40.75479545,11101,114.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,703.4,4000.0,-73.9537038,40.7419808,11109,114.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,703.4,4000.0,-73.9537038,40.7419808,11109,114.0
queens,Jamaica,152-09 88th Avenue,3.0,2.0,1410.39,4141.0,-73.80489459847828,40.7062302,11432,103.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,706.67,4100.0,-73.9537038,40.7419808,11109,114.0
queens,Astoria,25-80 37th Street,2.0,1.5,1015.33,2800.0,-73.91500811467873,40.7668978,11103,115.0
queens,Ditmars-Steinway,22-28 42nd Street,1.0,1.0,654.33,2500.0,-73.90556098172044,40.7713567,11105,115.0
queens,Jamaica,153-30 89th Avenue,2.0,2.0,1040.0,3000.0,-73.80223285312294,40.70519205,11432,103.0
queens,Hunters Point-Sunnyside-West Maspeth,27-19 44th Dr,0.5,1.0,443.0,2975.0,-73.94167904759615,40.7468007,11101,114.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1256.65,5460.0,-73.9616128,40.7396737,11109,114.0
queens,Ditmars-Steinway,23-46 26th Street,2.0,1.0,864.3,2900.0,-73.9172943,40.77566345,11105,114.0
queens,Hunters Point-Sunnyside-West Maspeth,44-28 Purves Street,1.0,1.0,703.24,3995.0,-73.94119769099831,40.7465046,11101,114.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0
queens,Hunters Point-Sunnyside-West Maspeth,44-28 Purves Street,1.0,1.0,709.26,4179.0,-73.94119769099831,40.7465046,11101,114.0
queens,Ditmars-Steinway,21-01 23rd Avenue,2.0,2.0,1156.54,2400.0,-73.9187114,40.7786716,11105,114.0
queens,Astoria,25-40 Shore Boulevard,1.0,1.0,623.0,2500.0,-73.9291039,40.7759325,11102,114.0
queens,Jamaica,153-30 89th Avenue,1.0,1.0,698.0,2077.0,-73.80223285312294,40.70519205,11432,103.0
queens,Jamaica,153-30 89th Avenue,0.5,1.0,528.0,1825.0,-73.80223285312294,40.70519205,11432,103.0
queens,Elmhurst,94-25 46th Avenue,4.0,1.5,950.0,2700.0,-73.86967555,40.743674350000006,11373,110.0
queens,Ditmars-Steinway,20-27 36th Street,3.0,1.0,1000.0,3399.0,-73.90441978166189,40.77717975,11105,115.0
queens,Ditmars-Steinway,22-03 35th Street,3.0,1.0,1200.0,3500.0,-73.9302235,40.7424392,11101,104.0
queens,Forest Hills,107-40 Queens Boulevard,0.5,1.0,580.0,2100.0,-73.8311517,40.7141772,11415,102.0
queens,Jamaica,147-40 Archer Avenue,1.0,1.0,647.62,2295.0,-73.8067421,40.7007227,11433,103.0
queens,Woodside,43-27A 54th Street,3.0,2.0,1000.0,2900.0,-73.91068295302188,40.7428174,11377,104.0
queens,Oakland Gardens,61-07 224th Street,3.0,1.0,900.0,3575.0,-73.7296274,40.713686,11429,103.0
queens,Ridgewood,55-27 Myrtle Avenue,1.0,1.0,666.6,2875.0,-73.9075078,40.7001268,11418,104.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0,-73.93720088501888,40.7483477,11101,114.0
queens,Astoria,9-04 33 Road,0.5,1.0,500.0,2000.0,,,,100.0
queens,Rockaway Park,160 Beach 117th Street,0.5,1.0,515.81,1275.0,-73.83753385714286,40.5787276122449,11694,100.0
queens,Belle Harbor,511 Beach 134th Street,2.0,1.5,1021.87,3000.0,-73.85453469387755,40.57853673469388,11694,100.0
queens,Kew Gardens,83-60 118th Street,1.0,1.0,641.24,2100.0,-73.83453060165571,40.70534025,11418,102.0
queens,Flushing,139-20 34th Avenue,2.0,2.0,800.0,2500.0,-73.8283522084894,40.76686885,11354,109.0
queens,Maspeth,64-06 48th Avenue,1.0,1.0,629.79,1750.0,-73.90146915,40.7382919,11377,104.0
queens,Astoria,25-43 46th Street,1.0,1.0,626.52,1650.0,-73.90759932406056,40.76451495,11103,115.0
queens,Forest Hills,76-26 113rd Street,0.5,1.0,480.0,1550.0,,,,100.0
queens,Ditmars-Steinway,19-23 Ditmars Boulevard,2.0,1.0,851.22,2500.0,-73.91702131188009,40.78093695,11105,114.0
queens,Steinway,26-38 21st Street,2.0,1.5,1066.04,4350.0,-73.9100276,40.786272,11105,115.0
queens,Ridgewood,605 Onderdonk Avenue,3.0,1.5,1205.51,2595.0,-73.90875358333334,40.70499708333334,11385,104.0
queens,East Flushing,140-70 Ash Avenue,1.0,1.0,650.0,1575.0,-73.82179052046168,40.75607135,11355,109.0
queens,Oakland Gardens,220-39 67th Avenue,2.0,1.0,850.0,2450.0,-73.75619359330051,40.745526850000005,11364,107.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0,-73.93720088501888,40.7483477,11101,114.0
queens,Rockaway Park,160 Beach 117th Street,1.0,1.0,621.61,1500.0,-73.83753385714286,40.5787276122449,11694,100.0
queens,Oakland Gardens,221-02 67th Avenue,2.0,1.0,800.0,2375.0,-73.75722,40.7450263,11364,107.0
queens,Woodside,41-32 53rd Street,0.5,1.0,531.35,1750.0,-73.91169661207348,40.7447108,11377,104.0
queens,Ridgewood,16-18 Jefferson Avenue,2.0,1.0,849.58,2450.0,-73.90617,40.6990088,11385,104.0
queens,Astoria,35-54 32nd Street,3.0,2.0,1405.77,4000.0,-73.92911251537362,40.7565009,11106,114.0
queens,Astoria,32-30 45th Street,2.0,1.0,800.0,2000.0,-73.91588300000001,40.7563886,11103,115.0
queens,Kew Gardens,83-10 Lefferts Boulevard,2.0,1.0,1200.0,2600.0,-73.8222243,40.6661842,11420,106.0
queens,Oakland Gardens,224-17 64th Avenue,1.0,1.0,725.0,1895.0,-73.75180294224138,40.7486247,11364,107.0
queens,Astoria,44-14 Broadway,1.0,1.0,750.0,2500.0,-73.91540473704686,40.75710005,11103,115.0
queens,Ditmars-Steinway,21-38 46th Street,3.0,1.0,1097.17,4000.0,-73.90144856736674,40.77148745,11105,115.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0,-73.9264879,40.7522402,11101,114.0
queens,Astoria,30-43 48th Street,1.0,1.0,700.0,2000.0,-73.90930315,40.75968615,11103,115.0
queens,Astoria,25-69 46th Street,2.0,1.0,857.76,2700.0,-73.90805899999998,40.7639485,11103,115.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,577.44,3159.0,-73.8548612,40.7584538,11368,115.0
queens,Forest Hills,72-81 113th Street,1.0,1.0,850.0,2150.0,-73.8357036547057,40.71999305,11375,112.0
queens,Ditmars-Steinway,21-69 19th Street,3.0,1.0,1071.0,3200.0,-73.91734875,40.78149555,11105,114.0
queens,Forest Hills,72-81 113th Street,1.0,1.0,800.0,2150.0,-73.8357036547057,40.71999305,11375,112.0
queens,Ridgewood,64-27 Palmetto Street,3.0,1.5,1192.59,2200.0,-73.89491804053444,40.70937395,11385,104.0
queens,Oakland Gardens,220-39 67th Avenue,2.0,1.0,847.94,2400.0,-73.75619359330051,40.745526850000005,11364,107.0
queens,Kew Gardens,118-75 Metropolitan Avenue,0.5,1.0,550.0,1750.0,-73.8321075,40.7064127,11415,102.0
queens,Forest Hills,65-39 108th Street,2.0,1.0,900.0,1900.0,-73.8482303,40.7307339,11375,112.0
queens,Oakland Gardens,67-02 Springfield Boulevard,1.0,1.0,700.0,1895.0,-73.7550698,40.7453119,11364,107.0
queens,Forest Hills,103-19 68 Road,2.0,1.0,847.94,2400.0,,,,100.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1264.5,5700.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point,23-10 Queens Plaza South,1.0,1.0,729.41,4795.0,-73.94205856549164,40.7508458,11101,114.0
queens,Ridgewood,1675 Madison Street,1.0,1.0,666.6,2875.0,-73.9075476734694,40.70048537755102,11385,104.0
queens,Ditmars-Steinway,20-52 45th Street,3.0,1.5,1000.0,3000.0,-73.90034401441918,40.7734534,11105,115.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0
queens,Ditmars-Steinway,42-13 23rd Avenue,1.0,1.0,633.06,1850.0,-73.90619777840868,40.7699349,11105,115.0
queens,Jackson Heights,84-09 35th Avenue,0.5,1.0,532.98,1800.0,-73.88240469992104,40.75229615,11372,115.0
queens,Sunnyside,48-30 40th Street,3.0,2.0,923.0,3750.0,-73.92550242168974,40.7390747,11104,104.0
queens,Kew Gardens,123-60 83rd Avenue,1.0,1.0,793.0,2050.0,-73.8257506,40.7117538,11415,102.0
queens,Flushing,137-20 45th Avenue,2.0,1.5,1138.0,2550.0,-73.82245954983821,40.75096645,11355,109.0
